x,y,cluster,sentiment,topic_proxy,review_id,model_key,dataset_key
-0.2070038,-0.28043807,3,positive,delivery,6d5cbd66b8b52a035e44276fdda28797,bertimbau,olist
-0.2917478,0.028001294,2,positive,product,f74dd1cc5d081bff126d062eec26f695,bertimbau,olist
-0.089784324,-0.07097188,2,neutral,product,9d14b1424ca737608bc50f9d3c1a78bb,bertimbau,olist
-0.1434634,0.35877967,0,negative,other,9ba260ed7e6a228e5e9910e035a70c7f,bertimbau,olist
0.117573135,-0.30638117,4,positive,delivery,a3d308c5563d93a99c7896bf7ff94e80,bertimbau,olist
-0.21738812,0.07815501,5,positive,other,3f71ee62eb5acdc9b5121f6d99901583,bertimbau,olist
-0.05259677,-0.07802713,5,positive,product,668aad714767396c2b7d949a27913bb7,bertimbau,olist
-0.09552945,-0.26259762,4,positive,delivery,ddda0fa55fc550a8f14f6ae00652fcf9,bertimbau,olist
0.15790617,0.12242071,6,negative,product,699b866b71b5ad31f1faa2b1ab4fe1a6,bertimbau,olist
0.035628445,0.12545207,1,negative,other,73a58bd10f2667a04ee95df0071d5988,bertimbau,olist
-9.834766e-07,0.15033157,5,positive,other,30a4f0f115950517b46d48046b609bd1,bertimbau,olist
0.13115871,-0.07071233,6,positive,delivery,16e2b94c7b6c1107c0abec3a77ae3afa,bertimbau,olist
0.27122146,-0.0037810504,1,negative,other,41b377e06cb52feb5630c3ce360cd8cd,bertimbau,olist
-0.12006585,-0.18583807,4,positive,product,cea53cba54c5c3a5d28db7b0bb013ace,bertimbau,olist
-0.17094606,-0.22267598,3,positive,delivery,19910e37f2130c56f553edfbdc0c65fb,bertimbau,olist
0.13984904,-0.054356337,4,positive,delivery,4564316d686dc211b70511906d579588,bertimbau,olist
0.2837744,-0.15861917,1,negative,delivery,1ff86f2ca823caab2e02507d2633081d,bertimbau,olist
0.07030486,-0.27875352,4,positive,delivery,179ac76606aa67e8f50238e3bb1d8933,bertimbau,olist
0.10214036,-0.005553603,1,negative,product,d49137ea593f67aa74446503e88aa91d,bertimbau,olist
-0.2177346,0.14066108,5,positive,other,4fa8392da03c452f77faa3f2952fa346,bertimbau,olist
0.3262372,-0.055538118,1,negative,product,d3b4d016ccfc708c50866b550f903b9d,bertimbau,olist
-0.13959941,-0.26346833,3,positive,delivery,1708bf606fae9970482894dabb9e2fa8,bertimbau,olist
-0.14591801,-0.1882397,5,positive,product,cbd63dc4f83043f2714e48fe8a83957d,bertimbau,olist
0.17129806,-0.19866014,4,positive,delivery,c1f198cdce8b992a9cddc3aaba11e689,bertimbau,olist
0.27913672,-0.08181757,1,negative,delivery,19074f5809403265fc47263ea93325ee,bertimbau,olist
0.2099705,-0.03142795,1,negative,product,c54629f4fc4dcf65a10efb35322ec769,bertimbau,olist
